delay,freq,condition,textbox.text,button.numClicks,,delay,freq,condition,textbox.text,button.numClicks,,,,
0.1,1000,exp,"
300",1,,0.7,400,unexp,"
300",2,,,,
0.4,1000,exp ,"
500",4,,0.4,400,unexp,"
300",3,,,,
0.7,1000,exp,"
200",6,,0.1,400,unexp,"
200",5,,,,
0.4,1000,exp,"
250",7,,0.1,400,unexp,"
100",14,,,Mean exp,30.97777778
0.7,1000,exp,"
400",8,,0.7,400,unexp,"
200",15,,,Mean unexp,29.06666667
0.1,1000,exp,"
90",9,,0.4,400,unexp,"
200",16,,,difference,1.911111111
0.7,1000,exp,"
150",10,,0.1,400,unexp,"
500",25,,,,
0.4,1000,exp,"
200",11,,0.4,400,unexp,"
200",28,,,,
0.1,1000,exp,"
100",12,,0.7,400,unexp,"100
",32,,,,
0.7,1000,exp,"
300",13,,0.1,400,unexp,"
100",42,,,,
0.4,1000,exp,"
200",17,,0.7,400,unexp,200,44,,,,
0.1,1000,exp,"
100",18,,0.1,400,unexp,"
200",56,,,,
0.4,1000,exp ,"
150",19,,0.4,400,unexp,"
200",57,,,,
0.7,1000,exp,"
250",20,,0.4,400,unexp,"
200",45,,,,
0.4,1000,exp,"
100",21,,0.7,400,unexp,"
100",52,,,,
0.1,1000,exp,"
80",22,,,,,,,,,,
0.1,1000,exp,"
100",23,,,,,,,,,,
0.7,1000,exp,"
080",24,,,,,,,,,,
0.4,1000,exp ,"
100",26,,,,,,,,,,
0.4,1000,exp,"
100",27,,,,,,,,,,
0.1,1000,exp,"
050",29,,,,,,,,,,
0.4,1000,exp,"
100",30,,,,,,,,,,
0.7,1000,exp,"
100",31,,,,,,,,,,
0.7,1000,exp,"
150",33,,,,,,,,,,
0.1,1000,exp,"
100",34,,,,,,,,,,
0.1,1000,exp,"
050",35,,,,,,,,,,
0.7,1000,exp,"
050",36,,,,,,,,,,
0.7,1000,exp,"
050",37,,,,,,,,,,
0.4,1000,exp,"
050",38,,,,,,,,,,
0.1,1000,exp,"
030",39,,,,,,,,,,
0.1,1000,exp,"
030",40,,,,,,,,,,
0.4,1000,exp,"
030",41,,,,,,,,,,
0.7,1000,exp,"
100",43,,,,,,,,,,
0.7,1000,exp,"
100",46,,,,,,,,,,
0.4,1000,exp ,"
100",47,,,,,,,,,,
0.1,1000,exp,"
100",48,,,,,,,,,,
0.1,1000,exp,"
100",49,,,,,,,,,,
0.1,1000,exp,"
100",50,,,,,,,,,,
0.1,1000,exp,"
 100",51,,,,,,,,,,
0.4,1000,exp ,"
100",53,,,,,,,,,,
0.7,1000,exp,"
200",54,,,,,,,,,,
0.7,1000,exp,"
200",55,,,,,,,,,,
0.7,1000,exp,"
 100",58,,,,,,,,,,
0.4,1000,exp,"
 100",59,,,,,,,,,,
0.4,1000,exp,"
100",60,,,,,,,,,,
